template,text
VBZ DT JJ CC JJ NN,"['is a powerful and emotional docudrama', 'is a disappointing and unimpressive sci-fi', 'provides a unique and thought-provoking companion', 'is a simple and familiar tale', 'is a chaotic and overwhelming film', 'is a well-acted but imperfect film', 'is a disappointing and frustrating film', 'is a joyful and accomplished movie', 'offers a powerful and thought-provoking exploration', 'is a stylish and thought-provoking film', 'is a enjoyable and relatable comedy', 'offers a humorous and poignant commentary', 'is a disappointing and unnecessary sequel.', 'is a powerful and intense drama', 'provides a complete and nuanced picture', 'offers a relatable and thought-provoking portrayal', 'is a flawed and unsatisfying film.', 'is a quiet and thoughtful meditation', 'offers a powerful and inspiring portrayal', 'follows a familiar and unoriginal storyline,', 'is a powerful and emotional portrayal', 'is a significant and challenging film', 'is a disappointing and unfunny film', 'is a disappointing and forgettable comedy.', 'is a flawed and imperfect film', 'is a disappointing and unsuccessful satire.', 'presents a realistic and relatable portrayal', 'is a well-crafted and unsettling horror', 'tells a unique and unsettling tale', 'is a disappointing and unfunny comedy.', 'creates a complex and sympathetic portrait', 'is a disappointing and forgettable piece', 'is a well-crafted and engaging film', 'is a thoughtful and nuanced exploration', 'has a unique and imaginative world,', ""it's a thought-provoking and unsettling film"", 'is a disappointing and uninspired action', 'is a romantic and entertaining film', 'showcases a dyspeptic and cringe-worthy portrayal', 'is a disappointing and unremarkable film.', 'is a impressive and promising debut', 'is a complex and challenging film', 'is a disappointing and unsuccessful film.', 'is a fascinating and timely documentary', 'is a stunning and original debut', 'remains a beautiful and powerful work', 'is a unique and memorable film', 'is a poignant and intimate drama', 'presents a gritty and realistic look', 'is a well-acted and enjoyable film', 'remains an effective and interesting horror', 'is a disappointing and unimpressive debut', 'is a disappointing and unmemorable film', 'is a challenging and thought-provoking film', 'is a disappointing and unsatisfying experience.', 'is a visceral and unflinching portrayal', 'is a unique and memorable experience.', 'is a disappointing and unwatchable film', 'is a lighthearted and entertaining comedy', ""it's a persuasive and stimulating work"", 'is a flawed but effective thriller', 'is a controversial and thought-provoking film', 'presents a complex and thought-provoking exploration', 'is a flawed but intriguing film', 'is a hilarious and entertaining ride.', 'is a delightful and entertaining film', 'is a gorgeous and enjoyable film', 'presents a visceral and brutal portrayal', 'is a well-crafted and enjoyable film.', 'is a disappointing and unimpressive action', 'is a flawed but fascinating film', 'is a flawed but enjoyable film', 'is a disappointing and formulaic adaptation', 'is a stylish and intriguing film', 'is a disappointing and unexciting film', 'follows a predictable and exploitative formula,', 'is a disappointing and unengaging film.', 'is a successful and inspiring film', 'is a hilarious and entertaining film', 'is a painful and sad film', 'is a disappointing and unfunny spoof.', 'is a slow-burning and contemplative work', 'offers a nuanced and complex portrayal', 'is a thought-provoking and unsettling horror', 'is a disappointing and unnecessary sequel', 'is a masterful and thought-provoking film', 'is a thought-provoking and emotional journey.', 'is a delightful and entertaining movie', 'is a disappointing and unfunny take', 'is a psychedelic and trashy film', 'is a joyous and entertaining watch', 'is a disappointing and unsatisfying film.', ""it's a painful and unfunny experience,"", 'is a personal and informative look', 'provides a powerful and thought-provoking experience.', 'has some artistic and musical highlights,', 'is a thought-provoking and timely film', 'creates a poetic and symphonic sense', 'is a thought-provoking and ambiguous portrait', 'is an entertaining and fun action-comedy.', 'plays a complex and nuanced character.', 'is a powerful and mesmerizing film', 'is a well-acted and engaging film,', 'is a charming and thought-provoking divertissement', 'is a worthy and independent film', 'is a thought-provoking and suspenseful thriller', 'is a tender-hearted and nuanced debut', 'is a well-crafted and effective war', 'is a light and unassuming comedy', 'is a flawed but thought-provoking film', 'is a personal and intimate exploration', 'is a well-crafted but imperfect film', 'features a spontaneous and stripped-down style', 'is a sweet and likeable tale', 'is a sweet and enjoyable movie', 'is a credible and enjoyable debut', 'is a powerful and emotional coming-of-age', 'is a masterful and unsettling film', 'is a disappointing and unimpressive film.', 'is a thought-provoking and entertaining film', 'is a flawed and uneven film', 'is a well-made and well-acted film', 'is a small but powerful gem', 'is a thought-provoking and offbeat drama', 'is a contemplative and austere portrayal', 'is a distinctive and thought-provoking film', 'is a thoughtful and introspective film', 'is a misguided and delirious film']"
NN DT NN VBZ VBN IN,"['effects, the movie is criticized for', 'premise, the movie is described as']"
NN IN DT NNS VBP IN,"['performances, although some critics feel that', 'weakness, with some critics finding that', 'coming-of-age, although some critics feel that', 'flat, with some critics feeling that', 'contention, with some critics feeling that', 'old-fashioned, with some reviewers noting that', 'chemistry between the leads endearing, while']"
NNP VBZ DT JJ CC JJ,"['Duty"" is a flawed but thought-provoking', 'Money"" is a well-crafted and engaging', 'Francisco"" is a stunning and original', 'Dodger"" is a impressive and promising', 'Bay"" is a thought-provoking and unsettling', 'Scripture"" is a disappointing and befuddling', '""Beeswax"" is a thoughtful and introspective', 'Me"" is a flawed but enjoyable', 'Boys"" is a thought-provoking and ambiguous', 'Escape"" is a painful and sad', 'Sang-soo is a light and unassuming', ""Overall, it's a sophisticated and juicy"", 'Horrors"" is a wild and witty', 'Year"" is a powerful and intense', 'Bell, is a personal and informative', '""Teeth"" is a unique and memorable', 'Weather"" is a delightful and entertaining', 'Camera"" is a charming and thought-provoking', 'Wedding"" is a flawed but enjoyable', 'Attraction"" is a flawed but effective', 'Wellness"" is a disappointing and frustrating', 'Man"" is a disappointing and uninspired', 'Cutoff"" is a masterful and thought-provoking', 'Over"" is a disappointing and unsuccessful', 'Kevin"" is a challenging and thought-provoking', 'Portrait"" is a well-made and well-acted', 'Fear"" is a well-crafted and unsettling', 'Man"" is a thought-provoking and timely', 'Bridge"" is a controversial and thought-provoking', 'Mavericks"" is a disappointing and unremarkable', 'Version"" is a well-acted and engaging', 'Dolls"" is a psychedelic and trashy', 'Zone"" is a significant and challenging', 'Lives"" is a disappointing and unfunny', 'Flambeur"" is a stylish and intriguing', 'Sonja is a disappointing and unexciting', 'Black"" is a disappointing and unfunny', 'Give"" is a powerful and emotional', 'Tour"" is a thought-provoking and offbeat', 'Bridge"" is a complex and challenging', 'Anastasia is a gorgeous and enjoyable', 'Vegas"" is a powerful and mesmerizing', 'Springs"" is a well-acted and enjoyable', 'Goods"" is a disappointing and forgettable', 'Chumscrubber"" is a disappointing and unimpressive', 'Resurgence is a disappointing and unnecessary', 'Ring"" is a stylish and thought-provoking', '""Hoosiers"" is a delightful and entertaining', 'Again"" is a disappointing and unremarkable', ""Overall, it's a persuasive and stimulating"", 'Mars"" is a disappointing and unimpressive', 'Juneteenth"" is a tender-hearted and nuanced', 'Guru"" is a disappointing and unfunny', 'Hack"" is a thought-provoking and entertaining', 'Game is a thought-provoking and suspenseful', 'Clear"" is a well-crafted and effective', 'Dinner"" is a well-acted but imperfect', 'Showtime is a disappointing and unimpressive', 'Married"" is a disappointing and unimpressive', 'Bone"" is a small but powerful', 'Mule"" is a flawed but fascinating', 'Shines"" remains an effective and interesting', 'Space"" is a enjoyable and relatable', 'Squad"" is a disappointing and unmemorable', 'Love"" is a disappointing and unsatisfying', 'Alien"" is a well-crafted and engaging', 'Plan"" is a special and unexpected', '""Coherence"" is a thought-provoking and entertaining', 'Kumar"" is a hilarious and entertaining', '""Burning"" is a masterful and unsettling', '""Admission"" is a disappointing and forgettable', 'Know"" is a disappointing and forgettable', 'Dreamz"" is a disappointing and unsuccessful', 'Happyness"" is a well-crafted but imperfect', 'Sparrow"" is a flawed but intriguing', ""Overall, it's a painful and unfunny"", 'Dangerous"" is a disappointing and unimpressive', 'Macdonald is a powerful and emotional', 'Planet"" is a disappointing and unimpressive', 'Langeais"" is a thoughtful and nuanced', 'Mile is a successful and inspiring', 'III"" is a disappointing and unsatisfying', '""Noi"" is a distinctive and thought-provoking', 'Secret"" is a disappointing and unengaging']"
RB JJ IN JJ NNS VBG,"['largely negative, with many critics praising', 'largely negative, with many critics feeling', 'often praised, with many critics noting', 'generally positive, with many critics praising', 'particularly praised, with many critics noting', 'also praised, with many critics noting', 'also criticized, with many scenes feeling', 'largely negative, with many critics finding', 'also panned, with many critics suggesting', 'largely negative, with many critics calling', 'largely positive, with many critics praising', 'largely negative, with many critics panning', 'also noted, with many critics praising', 'generally well-received, with many critics praising', 'overwhelmingly negative, with many critics calling', 'overwhelmingly positive, with many critics praising', 'widely praised, with many critics noting', 'particularly highlighted, with many critics noting']"
DT JJ CC JJ NN WDT,"['a convoluted and preposterous narrative that', 'a unique and operatic style that', 'a flawed but thought-provoking film that', 'a thought-provoking and timely film that', 'a delightful and entertaining film that', 'a light and unassuming comedy that', 'a painful and sad film that', 'a disappointing and unmemorable film that', 'a powerful and thought-provoking work that', 'a thoughtful and introspective film that', 'a fascinating and timely documentary that', 'a complex and challenging film that', 'a flawed but fascinating film that', 'a disappointing and unfunny film that', 'a disappointing and unexciting film that', 'a slow-burning and contemplative work that', 'a sweet and likeable tale that', 'a ""feel-good"" and ""inspirational"" tale that', 'a sweet and enjoyable movie that', 'a well-crafted and engaging film that', 'a stylish and intriguing film that', 'a significant and challenging film that', 'a successful and inspiring film that', 'a joyful and accomplished movie that', 'a chaotic and overwhelming film that', 'a disappointing and unnecessary sequel that', 'a hilarious and entertaining film that', 'a distinctive and thought-provoking film that', 'a quiet and subtle approach that', 'a thought-provoking and entertaining film that', 'a flawed and imperfect film that', 'a controversial and thought-provoking film that', 'a well-acted but imperfect film that', 'a disappointing and unwatchable film that', 'a enjoyable and relatable comedy that', 'a challenging and thought-provoking film that', 'a well-crafted but imperfect film that', 'a flawed but enjoyable film that', 'a worthy and independent film that', 'a flawed but effective thriller that', 'a misguided and delirious film that', 'a gorgeous and enjoyable film that', 'a well-made and well-acted film that', 'a disappointing and unoriginal film that', 'a unique and memorable film that', 'a lighthearted and entertaining comedy that', 'a disappointing and formulaic adaptation that', 'a stylish and thought-provoking film that', 'a poignant and intimate drama that', 'a joyous and entertaining watch that', 'a well-acted and enjoyable film that', 'a solid and impactful drama that', 'a powerful and intense drama that', 'a spontaneous and stripped-down style that', 'a persuasive and stimulating work that', 'a unique and current film that', 'a thought-provoking and suspenseful thriller that', 'a powerful and mesmerizing film that', 'a thoughtful and original film that', 'a charming and thought-provoking divertissement that', 'a psychedelic and trashy film that', 'a disappointing and frustrating film that', 'a thought-provoking and unsettling film that', 'a thought-provoking and offbeat drama that', 'a forgettable and uninspired caper that', 'a funny and entertaining film that', 'a powerful and emotional docudrama that', 'a flawed and uneven film that', 'a climactic and unforgettable ending, which', 'a flawed but intriguing film that', 'a lighthearted and humorous tone that']"
DT NNS VBP IN DT NN,"[""Some critics note that the film's"", 'the summaries suggest that the film', 'these opinions are in the minority.', 'some critics note that the acting', ""some critics argue that the movie's"", 'Some critics note that the film', 'The reviews agree that the movie', 'Some reviewers feel that the film', ""Some critics feel that the film's"", 'The reviews are for the movie', 'some reviewers comment on the absence', 'Some reviewers feel that the sequel', ""some critics feel that the film's"", 'some critics note that the film', ""Some reviewers note that the film's"", 'Some reviewers note that the film', ""the reviews suggest that the film's"", 'some reviewers note that the film', 'the reviews are that the movie', 'some critics argue that the movie', ""some critics feel that the movie's"", ""some critics argue that the film's"", ""Some reviewers feel that the film's"", 'the reviews suggest that the film', 'some critics argue that the film', 'some critics feel that the film', 'some critics note that the plot', 'some critics feel that the movie', ""some critics note that the film's"", 'some reviewers acknowledge that the film']"
VBP RB JJ IN JJ NNS,"['are widely praised, with many critics', 'are particularly praised, with many critics', 'are largely negative, with many critics', 'are overwhelmingly negative, with many critics', 'are generally positive, with many critics', 'are also panned, with many critics', 'are particularly highlighted, with many critics', 'are largely positive, with many critics', 'are overwhelmingly positive, with many critics']"
DT NN VBZ VBN IN DT,"['The story is set in the', 'the execution is marred by a', 'The comedy is centered around a', 'The film is described as a', 'the plot is described as a', 'The movie is seen as a', 'The film is seen as a', 'the film is elevated by the', 'the film is described as a', 'The movie is anchored by the', 'the film is seen as a', 'The film is based on the', 'the movie is seen as a', 'The director is hailed as a', 'the documentary is recommended for both', 'The movie is described as a']"
JJ NN IN DT JJ NN,"['stunning film with some interesting ideas,', ""film's focus on the artistic process"", 'powerful exploration of the human condition,', 'inspiring portrayal of a remarkable individual.', 'imperious editor of a glossy fashion', 'multifaceted portrait of a singular artist', 'quirky portrayal of a showbiz tale', 'big-screen adaptation of the British sitcom,', 'romantic comedy with a strong performance', ""movie's adaptation of the classic novel"", 'relatable portrayal of the corporate environment', 'unremarkable adaptation of the popular TV', 'ambiguous portrait of a marginalized community,', 'old-fashioned swashbuckler with a rich story,', 'worthwhile watch despite some narrative shortcomings.', 'love-it-or-hate-it proposition, with no clear consensus', 'solid adaptation of a true-life story,', 'loving rendition of a grim, wintry', 'complex dynamic between a cultural giant,', 'sinewy tale of the old west,""', 'upper-middle-class whining in a bad light.', 'exciting recreation of the original play,', 'successful take on the shipwrecked-pirate genre,', ""film's focus on the central character's"", ""fresh perspective on the film's significance"", 'showy turn as a local misfit.', 'serious exploration of the human condition,', ""film's commentary on the political process"", 'nuanced exploration of the creative process,', 'thoughtful exploration of the natural world.', 'balanced perspective on a complex issue.', 'striking moments, with a starkly beautiful', 'powerful reimagining of the classic villainess,', ""film's exploration of the creative process,"", 'nuanced exploration of a father-son relationship.', 'nuanced portrayal of the artistic process,', 'well-received film with a strong cast,', 'emotional connection despite the thin script.', 'great picture in the classical sense.', 'buddy pic-caper with a soft-pedaled minority', 'nuanced portrayal of a complex female', 'screen version of the classic play.', 'romantic comedy with a French flair.', ""film's portrayal of a teen love"", 'flawed, work from a talented director', 'romantic comedy with a strong sense', 'thoughtful exploration of the human heart.', 'family-friendly take on a classic tale,', ""definitive account of the film's creation"", 'watchable, albeit in a guilty pleasure', ""sensitive portrayal of a young boy's"", 'atmospheric portrayal of a coming-of-age story', ""actor's absence in the second half"", 'iconic character, with a poignant portrayal', '""entertaining"" update of the teen summer', ""thought-provoking commentary on the media's role"", 'unoriginal revival of a classic character.', 'enjoyable, watch, with a gripping story']"
