template,text
DT JJ NN IN DT NN,"['a vegetarian version of the dish', 'a light-hearted look at the world', 'a significant boost for the club.""]', 'a key role in the formation', 'the upcoming documentary on the life', 'a joint interview during the election', 'a tight squeeze for the intruders.', 'a slim model in a bikini', 'an Irish student in a bathroom', ""the trio\\'s future on the show"", 'a heated argument with an employee', 'a free agent since the end', ""the posh factor of a politician's"", 'a beloved figure in the city.', 'the first ball of the day.', 'the other woman in the room,', 'a freak accident during a match', 'an explosion-like sound at the time', 'a high-level informant in the assassination', 'any potential takeover of the club', 'a major transformation in an effort', 'The mysterious collapse of the energy', 'a judicial review of the decision.', 'the right man for the job', 'The first leg of that tie', 'a strong claim for a penalty', 'the second night in a row', ""a significant impact on the community.']"", 'The modified version of the vaccination', 'a short song before each egg-laying', 'a green raincoat on the sofa', 'a self-inflicted wound in the courthouse,', 'A new trend in the water', 'a vocal critic of the negotiations,', 'a medical need for the operation,', 'the mental age of a child,', 'any other player in the league', 'the two-day fixture, with the result', ""an 'imaginary slight' with no connection"", 'the hard shoulder before the crash.', 'a thorough investigation at the time,', 'a mile south of the station.', 'the southern part of the country.', 'a mobile phone from a man', 'a logical choice for the fixture.""]', 'The fifth meeting of the season', 'the premier tournament in this country.', 'the 16-year-old driver under the car', 'a curvy model in a bikini', 'a viral sensation after a video', 'a hidden camera in a bathroom', 'a decent uppercut at the end', 'the front room of the house.', 'the first team for the season', 'the top contender for the position', 'The first fight on the list', 'an 18-year-old man in the bathroom.', ""a national debate over the state's"", 'a two-shot lead at the halfway', 'a British soldier after the war', 'the deceptive nature of the canal,', 'the intended target of a shooting', 'the polarizing nature of the debate', 'no immediate word on the fate', 'a ""ghostly"" sensation in the laboratory,', 'a fatwa stating that a woman', 'the northern winter as the vaccine', 'the hidden camera under the sink', 'a serious impact on the school.', 'the only goal of the game.', 'a tight decision by the judges,', 'a 50-mile race with the help', 'a previous girlfriend with a woman', 'a clean record with the department,', ""the panel's recommendation of a prohibition"", 'any other country for a range', 'an ongoing affair with an employee,', 'the stressful aftermath of the incident.', ""a significant impact on the country.']""]"
IN DT JJ NN IN DT,"['from a private box beside the', 'at a rented villa at the', 'in the 2-1 defeat at The', 'in the bitter battle between the', 'as a good player with a', 'In a light-hearted look at the', ""about the trio\\'s future on the"", 'of a high-level informant in the', 'through the concrete wall of the', 'about the potential increase in the', 'for the 75th anniversary of the', 'of the wacky vessel in the', 'in a heroic performance for the', ""with the panel's recommendation of a"", 'in a disabled space at a', 'across the southern part of the', 'as a reasonable increase in the', 'in the top-of-the-table clash at the', 'for the upcoming documentary on the', ""as an 'imaginary slight' with no"", 'in an international row over the', 'on a previous girlfriend with a', 'during the first half of the', 'for a tenth term in the', 'by a British soldier after the', 'for a judicial review of the', 'into a cheetah exhibit at the', 'Despite an extensive search in the', 'before the 100th anniversary of the', 'under a green raincoat on the', 'In the first round of the', 'with no clear opening in the', 'In the first half of the', 'within a red circle with a', 'for the premier tournament in this', 'towards the hard shoulder before the', 'than any other player in the', 'During a speaking engagement at the', 'of a mile south of the', 'after a Russian fishing vessel, the', 'in the third minute with a', 'of a national debate over the', 'for a later date after a', 'with a robotic device while the', 'with an 18-year-old man in the', 'Despite a thorough investigation at the', 'about the deceptive nature of the', 'with a hidden camera in a', 'in the last decade on the', 'than any other country for a', 'as a young girl on a', 'during the first round of the', 'of a self-inflicted wound in the', 'In the first leg of the', 'during the quarterly meeting of the', 'with another female student of a', 'on the same mechanism as the', '["" The fatal shooting of an', 'In a joint interview during the', 'during the 0-0 draw at the', ""In this week's roundup of the"", 'from an $800 investment into a', 'off the first ball of the', 'for the second night in a', 'despite the stressful aftermath of the', 'into the front room of the', 'during the northern winter as the', 'for the second seed in the', 'in the bottom half of the', 'in the two-day fixture, with the']"
IN DT NN IN DT NN,"['in the upbringing of the cubs', 'since the end of the season,', 'at the time of the tragedy.', 'at the top of the table.""]', 'in the quest for a cure', 'as a result of the investigation.', 'as a jail for a worker,', ""in a 'fracas' at a hotel"", 'from the center of the capital.""]', 'in the behavior of some users.', 'at the foot of the tower', 'in the history of the bureau,', 'after the footage of the incident', 'of the incident at an apartment', 'from the vehicle before the impact.', 'at the foot of the stairs', 'in the middle of the night', 'at the end of the cycling', 'about the making of a comedy', 'with the quality of a milkshake', 'inside the house after the crash,', 'in the face with a brick,', 'at the top of the table', 'in the head with a snowbrush', 'on the sofa in the front', 'into the air before a shot', 'on the property throughout the search', 'on the back of a camel.', 'over the running of the whole', 'for a change in the system', 'on the surface of the snow', 'during a fumigation at the resort', 'of a shop by a valet', 'over a decade in the sport', 'in a bikini with the caption', 'in the stillness of the night.', 'on the brink of the title,', 'on the skull of a juvenile', 'by the franchisee after the footage', 'for the position after a flurry', 'in the roof of the car', 'at the time of the allegations,', 'from the meadow behind the house.', 'on the view from the meadow', 'after the announcement of the framework', 'in the event of a hung', 'near the road near the house,', 'for the defeat, as the keeper', 'at the start of the season', 'through the front of a shop', 'with the exhumation of the body', 'out the possibility of a terror', 'for the purpose of the attack.', 'in the kernel of the operating', 'on the significance of the fight,', 'about the safety of the app', 'at the end of the season', 'at the end of the season,', 'of the car during a rest', 'in the back of the head', 'at the time of the crash.""]', 'until the end of the campaign.', 'at the end of the month.', 'in the bedroom at the time,', 'with a rendition of the track.', 'from the squad on the eve']"
NN IN DT JJ NN IN,"['prison by an appellate court for', 'source of a wasp infestation on', 'market than the next resident of', '["" In the first half of', 'foundation in the two-day fixture, with', 'role in the premeditated murder of', 'lead in the second period with', 'note on a rainy night in', 'century on the second day of', ""mechanism as the body's rejection of"", 'sick at a rented villa at', 'mariner from a separate boat around', 'quarter of a mile south of', 'campus, in the small town of', 'anything like the current chaos at', 'popularity as a cross-training tool for', 'explanation for the common experience of', 'sea for the second time in', 'time through a public appeal for', ""judgment under the school's code of"", 'dead of a self-inflicted wound in', 'sex with an 18-year-old man in', 'sheet for the tenth time in', 'trailer for the upcoming documentary on', ""office for the organization's staff during"", 'public for the first time at', 'boundary off the first ball of', 'girl in an induced coma with', 'light on the evolutionary history of', ""[' In the first round of"", 'coin for the 75th anniversary of', '["" In the first leg of', 'success of a similar campaign in', 'circle with a diagonal line across', 'public about the deceptive nature of', 'role of a high-level informant in', 'performance in the 2-0 win over', ""[' In a new Epilogue for"", 'row for the first time since', 'arrival of the Protoaurignacian culture in', 'review of the botched investigation on', 'center of a national debate over', 'team, with no clear opening in', ""grievance as an 'imaginary slight' with"", ""[' During a speaking engagement at"", 'contact with an infected person through', '["" In this week\'s roundup of', ""speculation about the trio\\'s future on"", 'action from a private box beside', 'tie for the second seed in', '["" In a joint interview during', ""[' In a surprising move for"", 'favor of the northern route from', 'figure within a red circle with', 'goal in the 2-1 defeat at', '["" In a light-hearted look at', 'police for the third time in', 'route in the Spanish town of', ""club' with a 'big history' of"", 'choice as a central striker, with', 'kick during the first half of', 'stick on a Canadian reservation in', 'focus of some playful roughhousing from', 'year after the key witness in', 'turn towards the hard shoulder before']"
DT NN IN DT JJ NN,"['the season during a Bulgarian league', 'the action from a private box', 'the story of a serial killer', 'the focus of some playful roughhousing', 'a target for the Spanish giants,', 'a role in a West End', 'another patient in a nearby bed', 'the risk of a ""horrific war.""', 'an explanation for the common experience', 'the fight in the 15th round,', 'a member of the banned extremist', 'the need for a Labour government', 'the end of the second round.', 'a point in the eighth round,', 'the home of a former league', 'the feeling of a ghostly presence', 'the runway with an unexpected beauty', 'the subject of any engineered deal', 'the victory, with the Belgian goalkeeper', 'the diagnosis after a routine scan', 'an automaker in a personal injury', 'the public for the first time', 'the script for the second film.', 'the disappearance of a new mother,', 'a tie for the second seed', 'a note on a rainy night', 'the surface of a huge impact', 'some argue that the current labeling', 'A loss, on the other hand,', 'the source of a wasp infestation', 'a review of the botched investigation', ""no part in the next government.']"", 'the sun for the same reason.', 'a fee for an ad-free version.', 'a child after a medical examiner', 'the scene in a Rolls-Royce Phantom.', 'the center of the second-largest card', 'this time through a public appeal', 'the driver with a broken fence', 'the size of the inner labia', 'the father of the pre-teen girl', 'a stick on a Canadian reservation', 'the back of the 300-acre farm.', 'a blockage in the pulmonary artery,', 'an affair with a former partner,', 'a bathroom over a four-year period.', 'the center of a national debate', 'the kitchen, with a good quality', 'the father of a former X-Factor', 'the team behind the award-winning documentary', 'the public about the deceptive nature', 'the head with an unknown object.', 'the arrival of the Protoaurignacian culture', 'a row for the first time', 'the cause of the red sky', 'the family of a four-year-old boy', 'a quarter of a mile south', 'the car in the documentary ""Car', 'the success of a similar campaign']"
NN IN DT NN IN DT,"['uppercut at the end of the', 'back at the foot of the', 'say over the running of the', 'raincoat on the sofa in the', 'confinement in the disappearance of a', 'contender for the position after a', 'midfielder until the end of the', 'camera in a bathroom over a', 'disappointment in the behavior of some', 'lead at the top of the', 'agent since the end of the', 'year on the lawn of The', 'sergeant at the time of the', 'report of the incident at an', 'pesticide during a fumigation at the', 'anticipation of the birth of the', 'view from the meadow behind the', 'depression in the roof of the', 'country in the world for the', 'back of the head with an', 'reason for the abandonment of these', 'manure at the back of the', 'year by the end of the', 'meeting of the season between the', 'man of the match in the', ""[' In an interview for the"", 'front of a shop by a', 'sound at the time of the', 'audience with a rendition of the', 'power through a deal with the', 'mockumentary about the making of a', 'word on the fate of the', 'franchisee after the footage of the', 'transition at the end of the', 'welfare of a child after a', 'player for the majority of the', 'rucksack for the purpose of the', 'running of the whole of the', '$6,500 for the journey, with some', 'probe into the hose of an', 'chairman at the time of the', 'contract at the end of the', 'night in a row after a', 'ball across the water on the', 'model in a bikini with the']"
DT NN IN DT NN IN,"['the squad on the eve of', 'the driver of the car, with', 'the surface of the snow while', 'a t-shirt with an image of', 'the pace of the game from', 'the position after a flurry of', 'the vehicle with the attendant after', 'a noose from a tree on', 'the quest for a cure for', ""a 'fracas' at a hotel over"", 'a ball across the water on', 'the audience with a rendition of', 'this week, with a maximum of', 'the artwork as a way of', 'the safety of the app for', 'every year on the lawn of', 'a report of the incident at', 'the result of a tackle by', 'a say over the running of', 'the incident in an interview with', 'the pesticide during a fumigation at', 'a depression in the roof of', 'the welfare of a child after', 'the back of the head with', 'the midfielder until the end of', 'a fumigation at the resort on', 'the running of the whole of', 'a restaurant across the road from', 'the front of a shop by', 'the view from the meadow behind', 'a year by the end of', 'the truck off the road in', 'the upbringing of the cubs as', 'the prom with a group of', 'the middle of the night in', 'the cockpit during a flight from', 'the house after the crash, with', 'The reason for the abandonment of', 'the brink of the title, with', 'a roundabout at the intersection of', 'the end of the season after', 'a dig at a group of', 'a vote on the issue in', 'the franchisee after the footage of', 'a row outside the block of', 'the foot of the stairs of', 'The presence of a dog in']"
NNP NNP NNP CC NNP NNP,"['Manchester United, Chelsea, and Manchester City', 'Researchers David Byrne and Charles Henderson', ""Nuttall, Patrick O'Flynn, and Suzanne Evans,"", 'Attwood, Jonathan Joseph, and Anthony Watson,', 'Sandy Dee Hall and Maxine Cher', 'England, Wales, Scotland, and Northern Ireland,', 'Queen Victoria Museum and Art Gallery', 'NSW Rugby Union and Australian Rugby', 'Ace Hotel London and Pizza East.', 'Johnson, Sailosi Tagicakibau, and Alapati Leiua,', 'Kane, Diego Costa, and Sergio Aguero.""]', 'Villa, Southampton, Everton, and West Ham.', 'Premier League, Bundesliga, and Russian Premier', 'Holden, Charlize Theron, and Olivia Wilde.', 'Wilshere, Mikel Arteta, and Abou Diaby', 'Old Kent Road and Whitechapel Road', 'Mason Pulliam Recreation & Sports Complex', 'Reagan, Jodie Foster, and James Brady,', 'Silvestri, Souleymane Doukara and Edgar Cani,', 'Brengle, Lucie Safarova, and Marina Melnikova.', 'Paris St Germain, and Bayern Munich', 'Lionel Messi, Neymar, and Xavi Hernandez', ""Cadland Primary School and Bishop's Waltham"", 'Griffiths, Efe Ambrose, and Scott Brown', 'Depay, Danny Ings, and James Milner.', '""Big Yellow Taxi"" and ""Help Me,""', 'Morgan Stanley, BlackRock, and Deutsche Bank', ""Monaco's Radamel Falcao and Anthony Martial"", 'However, Manchester United and Manchester City', 'Paris St Germain, and Bayern Munich.', ""Ford, Neil Armstrong, and Poldark\\'s Aidan"", 'Cleopatra, Marie Antoinette, and Tsarina Alexandra.', 'Fowler, Steve McManaman, and Steven Gerrard', 'Queens Park Rangers, and Crystal Palace.', 'Crosby, Stills, Nash & Young\\\'s ""Woodstock""', 'Burch, Suzy Menkes, and Karl Lagerfeld.', 'Hardy, Vincent Cassel, and Gary Oldman,', 'Wes Brown (knee) and Emanuele Giaccherini', 'Begum, Amira Abase, and Kadiza Sultana,', 'Rimmel: Colourfest Lip and Nail Collection', 'Belgium, Malaysia, Thailand, and Papua New', 'Tzus, Yorkshire Terriers, and Border Collies,', 'David Elliot Moran, and Charles Thomas']"
NN IN DT NN IN NNP,"[""vote on the issue in December.']"", 'role in the formation of World', 'month before the crash at Goodwood', 'compensation from the state on Friday.', 'bait in the transfer, with Pogba', ""bin inside a closet at Jones'"", ""criticism of the umpiring in Bangladesh's"", 'connection with the death of John', '£20,000 for the wedding, as Courtney', 'fire inside the library of Wayne', 'cockpit during a flight from Dublin', 'appearance on the balcony of Buckingham', 'penalty for the murder of Cleveland', 'middle of the night in Las', ""depression during an appearance on ABC's"", 'grief over the loss of Wilson,', 'bullying by a gang in Coventry.', 'fumigation at the resort on March', 'eye after a clash with Sergio', 'interference in the running of Sri', 'tanker off the coast of Maryland.', 'ship off the coast of Lanzarote.', 'look into the world of Customs', 'quest for a cure for HIV.""]', 'result of a tackle by Martin', 'incident in an interview with Match', 'restaurant across the road from Guanghui', 'unrest over the death of Freddie', 'collection in an exhibition at Stour', 'fire at a shipyard in Severodvinsk', 'roundabout at the intersection of Fellmongers', 'dig at a group of Clinton', ""squad on the eve of Saturday's"", '["" On the day of Freddie', 'informant in the assassination of Martin', 'mouth during a match against Swansea.', 'whale during a holiday in Norway.', 'syncs with a smartphone over Bluetooth', 'fairness during the battle for North', 'disappointment at the loss of Cruden,', 'penalty off the table for Dzhokhar', 'floating in a creek near Marine', '["" In the aftermath of Nepal\'s', ""[' In an interview with MailOnline,""]"
DT JJ NN IN NNP NNP,"['A 21-year-old woman in Festus, Missouri,', 'a stunning view of Salisbury Cathedral', 'the current chaos at Elland Road.', 'a clean sheet against Rayo Vallecano', 'a routine shot from Alexis Sanchez,', 'a fast start, with Tom Varndell', 'a religious service at Westminster Abbey', 'a late goal from Cesc Fabregas.', 'a two-year-old girl from Portland, Oregon,', 'some playful roughhousing from Sergio Ramos,', 'a 1-1 draw by Inverness Caledonian', 'the controversial shooting of Michael Brown,', 'a close friendship with Princess Eugenie', 'A third-grade teacher in Denver, Colorado', 'a 100-92 win over Oklahoma City.', ""A farmer's wife in New York,"", 'a rural area of Brown County,', 'the final presenter of Top Gear,', 'a late equalizer for Stoke City', 'the first time at Leningrad Zoo', 'the 24-year-old sister of Boston Marathon', ""the witness stand at London's Southwark"", 'the famous ""Girl With A Pearl', 'the former manager of Queens Park', 'an ankle injury against Borussia Dortmund,', 'an internal matter for Fife Council.""]', 'A paralyzed father in Merseyside, Mike', ""the 50th anniversary of Winston Churchill's"", 'the official weigh-in on Friday, May', 'a fifth season, with Louis C.K.', ""the first leg of PSG's Champions"", 'a 19-year-old girl from Wallan, Victoria,', 'a 1-1 draw with Igor Joao', 'the 21-year-old son of Rochdale Labour', 'a wicked bounce past Craig Gordon.', 'a broken foot against Manchester United,', 'the cosmological effect of Zayn Malik', ""a mile west of Hawaii's Lanai"", 'a shallow grave in North Dakota.', 'a potential sale of Paul Pogba.', 'a 27-year-old man from Columbus, Ohio,', 'a 3-2 win over West Brom']"
